Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Sales_Channel,Salesperson,Order_Status,Sales_Amount
ORD-021367,5/13/2025,CUST-04376,Sara Ahmed,Male,34,Doha,Fashion,Jeans,6,903.64,0,Mobile Payment,Store,SP-088,Returned,5421.84
ORD-003228,5/7/2025,CUST-07910,Mohammed Hassan,Male,45,Doha,Electronics,Keyboard,1,1278.09,0.15,Mobile Payment,Phone,SP-016,Returned,1086.38
ORD-047958,5/19/2025,CUST-05824,Ahmed Ali,Female,20,Mesaieed,Fashion,T-Shirt,4,297.37,0,Bank Transfer,Phone,SP-047,Completed,1189.48
ORD-010902,12/15/2025,CUST-02651,Noura Hassan,Female,38,Al Rayyan,Home,Chair,4,448.19,0.15,Card,Online,SP-018,Returned,1523.85
ORD-032753,1/6/2026,CUST-07868,Ahmed Ali,Female,62,Doha,Home,Cookware,6,533.95,0,Cash,Online,SP-009,Completed,3203.7
ORD-012733,5/18/2025,CUST-08680,Fatima Noor,Male,63,Lusail,Food & Beverage,Sandwich,3,532.25,0.1,Bank Transfer,Phone,SP-047,Completed,1437.08
ORD-049786,9/14/2025,CUST-06250,Ahmed Ali,Female,22,Mesaieed,Fashion,Dress,1,452.19,0,Card,Store,SP-020,Cancelled,452.19
ORD-022473,10/26/2025,CUST-04936,Noura Hassan,Female,40,Umm Salal,Fashion,Shoes,5,1386.74,0.2,Card,Store,SP-050,Returned,5546.96
ORD-026952,10/11/2025,CUST-05213,Mariam Ali,Female,18,Doha,Food & Beverage,Sandwich,4,451.67,0,Card,Online,SP-088,Completed,1806.68
ORD-019889,6/5/2026,CUST-00121,Fatima Noor,Male,53,Al Khor,Home,Cookware,4,1369.02,0.1,Mobile Payment,Phone,SP-095,Completed,4928.47
ORD-014146,5/4/2025,CUST-00631,Aisha Mohamed,Female,53,Al Rayyan,Home,Vacuum Cleaner,10,1270.84,0.1,Card,Online,SP-048,Returned,11437.56
ORD-023638,1/10/2025,CUST-09589,Aisha Mohamed,Female,53,Al Rayyan,Fashion,Backpack,5,409.08,0.1,Cash,Store,SP-057,Completed,1840.86
ORD-022097,10/17/2025,CUST-02523,n/a,Male,54,Lusail,Grocery,Rice,5,770.65,0.15,Bank Transfer,Online,SP-051,Completed,3275.26
ORD-030743,2/22/2025,CUST-06327,Yousef Ibrahim,Female,38,Al Rayyan,Fashion,T-Shirt,4,1395.44,0.1,Card,Online,SP-096,Cancelled,5023.58
ORD-016993,4/9/2025,CUST-09465,Mariam Ali,Female,58,Lusail,Grocery,Milk,5,141.66,0.1,Mobile Payment,Online,SP-099,Completed,637.47
ORD-006073,6/25/2025,CUST-08177,Omar Khalid,Female,40,Doha,Fashion,Jacket,2,549.06,0.15,Card,Store,SP-085,Cancelled,933.4
ORD-005305,5/6/2026,CUST-03248,Aisha Mohamed,Female,26,Mesaieed,Electronics,Smartphone,2,1337.83,0.05,Cash,Phone,SP-088,Cancelled,2541.88
ORD-013912,4/24/2025,CUST-03502,Omar Khalid,Male,25,Al Rayyan,Home,Bedsheet,3,1432.59,0,Bank Transfer,Store,SP-077,Completed,4297.77
ORD-035571,3/3/2026,CUST-07049,Ahmed Ali,Female,43,Doha,Fashion,Jacket,9,1351.97,0,Card,Phone,SP-020,Returned,12167.73
ORD-004058,6/6/2026,CUST-04774,Fatima Noor,Female,35,Al Wakrah,Electronics,Smartphone,10,1342.55,0.15,Card,Store,SP-057,Completed,11411.68
ORD-014812,10/2/2025,CUST-09179,Yousef Ibrahim,Male,21,Al Rayyan,Home,Bedsheet,10,553.63,0,Bank Transfer,Phone,SP-006,Pending,5536.3
ORD-005012,5/13/2025,CUST-03469,Omar Khalid,Male,36,Umm Salal,Home,Chair,4,605.24,0.25,Card,Phone,SP-031,Completed,1815.72
ORD-020085,1/15/2026,CUST-06167,Omar Khalid,Female,27,Al Rayyan,Home,Chair,8,749.76,0,Mobile Payment,Store,SP-010,Completed,5998.08
ORD-013048,8/27/2025,CUST-05015,Mariam Ali,Female,38,Lusail,Food & Beverage,Tea,3,831.86,0.25,Mobile Payment,Online,SP-062,Completed,1871.68
ORD-028887,8/13/2025,CUST-01652,Omar Khalid,Female,43,Lusail,Food & Beverage,Pizza,3,127.33,0.1,Bank Transfer,Store,SP-084,Completed,343.79
ORD-012148,5/12/2026,CUST-04632,Khalid Salem,Male,42,Doha,Grocery,Water,3,332.53,0.1,Cash,Online,SP-089,Completed,897.83
ORD-043223,5/23/2026,CUST-07705,Aisha Mohamed,Male,45,Al Rayyan,Grocery,Cooking Oil,7,1177.05,0,Card,Online,SP-025,Completed,8239.35
ORD-006833,4/2/2025,CUST-02507,Ahmed Ali,Female,43,Umm Salal,Electronics,Headphones,2,393.62,0,Card,Store,SP-079,Returned,787.24
ORD-017037,2/2/2026,CUST-06526,Yousef Ibrahim,Male,46,Doha,Food & Beverage,Tea,6,1190.16,0.05,Card,Phone,SP-088,Cancelled,6783.91
ORD-009404,6/3/2026,CUST-01289,Aisha Mohamed,Female,49,Doha,Grocery,Bread,10,178.62,0.1,Card,Online,SP-087,Completed,1607.58
