"order_id"|"order_date"|"customer_id"|"customer_name"|"gender"|"age"|"city"|"product_category"|"product"|"quantity"|"unit_price"|"discount"|"payment_method"|"sales_channel"|"salesperson"|"order_status"|"sales_amount"|"net_sales_calc"|"sales_variance"|"year"|"month"
"ORD-000001"|"2026-02-20"|"CUST-09243"|"Mohammed Hassan"|"Male"|32|"Doha"|"Electronics"|"Laptop"|10|843.94|0.15|"Cash"|"Store"|"SP-076"|"Completed"|7173.49|7173.49|0.0|2026|2
"ORD-000002"|"2025-03-13"|"CUST-05274"|"Noura Hassan"|"Female"|18|"Doha"|"Fashion"|"Jeans"|8|1336.38|0.05|"Card"|"Online"|"SP-061"|"Completed"|10156.49|10156.49|0.0|2025|3
"ORD-000003"|"2025-04-22"|"CUST-02473"|"Omar Khalid"|"Male"|26|"Al Rayyan"|"Grocery"|"Cereal"|9|733.58|0.0|"Bank Transfer"|"Store"|"SP-043"|"Completed"|6602.22|6602.22|0.0|2025|4
"ORD-000004"|"2025-06-21"|"CUST-02409"|"Aisha Mohamed"|"Male"|47|"Doha"|"Home"|"Lamp"|1|809.69|0.1|"Card"|"Store"|"SP-081"|"Completed"|728.72|728.72|0.0|2025|6
"ORD-000005"|"2025-09-30"|"CUST-01675"|"Mohammed Hassan"|"Female"|41|"Doha"|"Electronics"|"Monitor"|4|1473.34|0.0|"Card"|"Online"|"SP-022"|"Pending"|5893.36|5893.36|0.0|2025|9
"ORD-000006"|"2026-06-14"|"CUST-04187"|"Mohammed Hassan"|"Female"|62|"Doha"|"Electronics"|"Headphones"|5|658.34|0.0|"Bank Transfer"|"Phone"|"SP-075"|"Pending"|3291.7|3291.7|0.0|2026|6
"ORD-000007"|"2025-11-15"|"CUST-05643"|"Aisha Mohamed"|"Female"|58|"Lusail"|"Grocery"|"Cereal"|3|653.46|0.1|"Cash"|"Store"|"SP-093"|"Cancelled"|1764.34|1764.34|0.0|2025|11
"ORD-000008"|"2025-03-23"|"CUST-03612"|"Sara Ahmed"|"Male"|42|"Al Rayyan"|"Fashion"|"Shoes"|5|1141.89|0.05|"Card"|"Store"|"SP-050"|"Returned"|5423.98|5423.98|0.0|2025|3
"ORD-000009"|"2025-03-16"|"CUST-03038"|"Sara Ahmed"|"Female"|24|"Umm Salal"|"Electronics"|"Laptop"|3|721.75|0.1|"Card"|"Online"|"SP-090"|"Completed"|1948.72|1948.73|-0.01|2025|3
"ORD-000010"|"2026-03-05"|"CUST-09143"|"Omar Khalid"|"Male"|31|"Doha"|"Grocery"|"Milk"|3|66.09|0.15|"Cash"|"Store"|"SP-059"|"Completed"|168.53|168.53|0.0|2026|3
"ORD-000011"|"2026-04-05"|"CUST-03748"|"Mariam Ali"|"Male"|54|"Lusail"|"Fashion"|"T-Shirt"|6|712.96|0.0|"Card"|"Store"|"SP-058"|"Returned"|4277.76|4277.76|0.0|2026|4
